"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
245109857,"SMD2014101713","HOME","P",6206,"NORTHERN CARDINAL","N","N","T","M","S","S",88,NA,"FPF","H","M",44.4,12:15:00
245109859,"SMD2015082108","HOME","P",7777,"NORTHERN CARDINAL","N","N","T","H","S","S",NA,NA,"FPF","H","F",39.3,07:45:00
245109859,"SMD2015082108","HOME","P",7874,"NORTHERN CARDINAL","N","N","T","N","N","S",85,NA,"FAS","U","F",38.1,07:25:00
245109859,"SMD2015102211","HOME","P",7777,"NORTHERN CARDINAL","N","N","T","H","S","S",NA,NA,"FPF","H","F",39.3,07:45:00
245109859,"SMD2015102211","HOME","P",7874,"NORTHERN CARDINAL","N","N","T","N","N","S",85,NA,"FAS","U","F",38.1,07:25:00
245109863,"SMD2015100202","HOME","N",7736,"NORTHERN CARDINAL","N","N","T","L","S","S",88,NA,"DPB","A","F",42.8,09:18:00
245109867,"SMD2014120422","HOME","P",6646,"NORTHERN CARDINAL","N","N","N","N","N","S",89,NA,"FAS","A","M",44.7,08:37:00
245109867,"SMD2014120422","HOME","P",6817,"NORTHERN CARDINAL","N","N","T","N","N","L",88,NA,"FAS","A","M",43.8,07:02:00
245109867,"SMD2014120422","HOME","P",10629,"NORTHERN CARDINAL","N","N","T","N","N","S",89,NA,"FAS","A","M",42.5,11:55:00
245109867,"SMD2014120422","HOME","P",12983,"NORTHERN CARDINAL","N","N","T","T","S","H",89,NA,"DPB","O","M",43.9,09:38:00
245109878,"SMD2015121725","HOME","N",6815,"NORTHERN CARDINAL","N","N","N","N","N","L",87,NA,"FAS","A","M",38.3,11:45:00
245109878,"SMD2015121725","HOME","N",6972,"NORTHERN CARDINAL","S","N","N","N","N","L",89,NA,"FAS","A","M",37.9,09:55:00
245109878,"SMD2015121725","HOME","N",8293,"NORTHERN CARDINAL","N","N","T","N","N","S",92,NA,"FAS","A","M",40.2,10:00:00
245109878,"SMD2015121725","HOME","N",6815,"NORTHERN CARDINAL","N","N","N","N","N","L",87,NA,"FAS","A","M",38.3,11:45:00
245109878,"SMD2015121725","HOME","N",6972,"NORTHERN CARDINAL","S","N","N","N","N","L",89,NA,"FAS","A","M",37.9,09:55:00
245109878,"SMD2015121725","HOME","N",8293,"NORTHERN CARDINAL","N","N","T","N","N","S",92,NA,"FAS","A","M",40.2,10:00:00
245113702,"SMD2014040431","HOME","P",5099,"NORTHERN CARDINAL","N","N","N","N","N","L",88,NA,"FAS","S","M",42.4,08:59:00
245113703,"SMD2013101118","HOME","P",4395,"NORTHERN CARDINAL","N","N","N","T","N","N",90,NA,"FAS","A","F",42.3,07:20:00
245113710,"SMD2014032110","HOME","P",5096,"NORTHERN CARDINAL","N","N","N","L","N","S",90,NA,"FAS","A","F",41.9,08:30:00
245113714,"SMD2014010704","HOME","P",4732,"NORTHERN CARDINAL","N","N","L","N","N","L",88,NA,"FCF","S","F",40.7,08:20:00
245113715,"SMD2014010708","HOME","P",4733,"NORTHERN CARDINAL","N","N","B","N","N","S",92,NA,"FAS","A","F",53.6,08:30:00
245113716,"SMD2014080108","HOME","P",4734,"NORTHERN CARDINAL","N","N","F","N","N","S",90,NA,"FAS","A","F",47.7,07:10:00
245113716,"SMD2014080108","HOME","P",5841,"NORTHERN CARDINAL","N","N","T","H","S","S",85,NA,"DCB","A","F",41.5,07:54:00
